phone,gmaps_url,company,rating,category,latitude,longitude,updatedAt
61400147600,https://www.google.ca/maps/place/Peninsula+Pool+Fencing/data=!4m7!3m6!1s0x63bd3308a328e015:0x84fda9352a893755!8m2!3d-38.3123956!4d144.9565076!16s%2Fg%2F11rhwg55ln!19sChIJFeAoowgzvWMRVTeJKjWp_YQ?authuser=0&hl=en&rclk=1,Peninsula Pool Fencing,4.3,Fence contractor,-38.3123956,144.9565076,24/02/2024 23:39
61400205489,https://www.google.ca/maps/place/Brick+Fencing+Melbourne/data=!4m7!3m6!1s0x6ad60d8a0def33c9:0x96f2800751350ae1!8m2!3d-37.9725665!4d145.0618806!16s%2Fg%2F11h94vxkj2!19sChIJyTPvDYoN1moR4Qo1UQeA8pY?authuser=0&hl=en&rclk=1,Brick Fencing Melbourne,2.3,Fence contractor,-37.9725665,145.0618806,24/02/2024 15:35
61400206969,https://www.google.ca/maps/place/Triffs+Fencing/data=!4m7!3m6!1s0x6ad7f5fcdfaabbbb:0x847755429cf6c9ee!8m2!3d-37.0240206!4d145.138313!16s%2Fg%2F11h5l2yg1c!19sChIJu7uq3_z112oR7sn2nEJVd4Q?authuser=0&hl=en&rclk=1,Triffs Fencing,4.3,Fence contractor,-37.0240206,145.138313,25/02/2024 3:38
61400225577,https://www.google.ca/maps/place/Hawkesbury+Fencing/data=!4m7!3m6!1s0x6b0d67d5b1f9c147:0x85b3f94e2e89268a!8m2!3d-33.5638313!4d150.9154911!16s%2Fg%2F11tx6gfdp3!19sChIJR8H5sdVnDWsRiiaJLk75s4U?authuser=0&hl=en&rclk=1,Hawkesbury Fencing,5,Fence contractor,-33.5638313,150.9154911,24/02/2024 19:43
61400230051,https://www.google.ca/maps/place/Delta+Fencing+%26+Security/data=!4m7!3m6!1s0xa2d54d8fb51b4fa9:0xbdd18ca8a1da96b!8m2!3d-19.1595504!4d145.7755994!16s%2Fg%2F11rtlfgyl4!19sChIJqU8btY9N1aIRa6kdisoY3Qs?authuser=0&hl=en&rclk=1,Delta Fencing & Security,5,Security service,-19.1595504,145.7755994,24/02/2024 17:16
61400231804,"https://www.google.ca/maps/place/Kalamunda+Home+Maintenance+-+Fencing,+Gardening+%26+Home+Repairs/data=!4m7!3m6!1s0x2a32c74e5ccd9965:0xb974a4c61cc8621c!8m2!3d-31.9623674!4d115.9007947!16s%2Fg%2F11g6b111wy!19sChIJZZnNXE7HMioRHGLIHMakdLk?authuser=0&hl=en&rclk=1","Kalamunda Home Maintenance - Fencing, Gardening & Home Repairs",4,Property maintenance,-31.9623674,115.9007947,15/10/2023 18:12
61400296166,https://www.google.ca/maps/place/Any+Job+Matters+Handyman+Canberra+-+Decking+%26+Pergolas+%7C+Gates+%26+Fencing+%7C+Carpenter+%7C+Roof+Repairs/data=!4m7!3m6!1s0x6b163538089fb4a7:0xe84f4a04965aa813!8m2!3d-35.5224729!4d149.0810385!16s%2Fg%2F11gh4lp6x4!19sChIJp7SfCDg1FmsRE6halgRKT-g?authuser=0&hl=en&rclk=1,Any Job Matters Handyman Canberra - Decking & Pergolas | Gates & Fencing | Carpenter | Roof Repairs,1,Handyman/Handywoman/Handyperson,-35.5224729,149.0810385,12/10/2023 10:12
61400310285,https://www.google.ca/maps/place/J+Lucas+Fencing+and+Welding/data=!4m7!3m6!1s0x6b1899d34f4197ef:0x1e9dbc221ba5ad16!8m2!3d-35.0856934!4d147.46866!16s%2Fg%2F11fd705nxj!19sChIJ75dBT9OZGGsRFq2lGyK8nR4?authuser=0&hl=en&rclk=1,J Lucas Fencing and Welding,5,Fence contractor,-35.0856934,147.46866,24/02/2024 20:20
61400320930,https://www.google.ca/maps/place/RCD+Rowett+Fencing+Contractors/data=!4m7!3m6!1s0x6f81476cf0cef4d9:0xce79dd3775464e93!8m2!3d-27.3821429!4d152.9931964!16s%2Fg%2F11s38w7373!19sChIJ2fTO8GxHgW8Rk05GdTfdec4?authuser=0&hl=en&rclk=1,RCD Rowett Fencing Contractors,,Fence contractor,-27.3821429,152.9931964,25/02/2024 0:21
61400323185,https://www.google.ca/maps/place/Ararat+sheds+and+fences/data=!4m7!3m6!1s0x6ad1f14786083531:0x8f55d6e655f98338!8m2!3d-37.3001633!4d142.9291528!16s%2Fg%2F11hhnnjsp2!19sChIJMTUIhkfx0WoROIP5VebWVY8?authuser=0&hl=en&rclk=1,Ararat sheds and fences,5,Shed builder,-37.3001633,142.9291528,24/02/2024 13:32
61400338652,https://www.google.ca/maps/place/Melbourne+Fence+Builders/data=!4m7!3m6!1s0x6ad6edbc9a27b935:0x4ace1dbe23a673b9!8m2!3d-37.9725665!4d145.0531353!16s%2Fg%2F11h194yty8!19sChIJNbknmrzt1moRuXOmI74dzko?authuser=0&hl=en&rclk=1,Melbourne Fence Builders,5,Fence contractor,-37.9725665,145.0531353,24/02/2024 22:05
61400339576,https://www.google.ca/maps/place/Central+West+Shade+Sheds+%26+Fencing/data=!4m7!3m6!1s0x6b0ec1c96645fd73:0x58a668f4481bfce6!8m2!3d-32.2576798!4d149.4196806!16s%2Fg%2F11g7tx42mb!19sChIJc_1FZsnBDmsR5vwbSPRoplg?authuser=0&hl=en&rclk=1,Central West Shade Sheds & Fencing,2,Shed builder,-32.2576798,149.4196806,24/02/2024 16:12
61400351426,https://www.google.ca/maps/place/Seven+Mile+Fencing+%26+Property+Maintenance+-+Wollongong+%7C+Sutherland+Shire+%7C+Eastern+Suburbs/data=!4m7!3m6!1s0x6b744b182bb6c0f3:0xfeb4f8eface527ce!8m2!3d-32.0964184!4d152.3816595!16s%2Fg%2F11jfk8t76d!19sChIJ88C2KxhLdGsRziflrO_4tP4?authuser=0&hl=en&rclk=1,Seven Mile Fencing & Property Maintenance - Wollongong | Sutherland Shire | Eastern Suburbs,4.7,Fence contractor,-32.0964184,152.3816595,25/02/2024 1:24
61400357975,https://www.google.ca/maps/place/Taylord+Fencing+and+Yard+Design/data=!4m7!3m6!1s0x6b9371686f792ec1:0xac2aa48ce6a56df5!8m2!3d-26.6013546!4d153.0950942!16s%2Fg%2F1tv3nw11!19sChIJwS55b2hxk2sR9W2l5oykKqw?authuser=0&hl=en&rclk=1,Taylord Fencing and Yard Design,5,Fence contractor,-26.6013546,153.0950942,25/02/2024 2:55
61400381469,https://www.google.ca/maps/place/All+Types+Fencing+and+Gates+North+Brisbane/data=!4m7!3m6!1s0x88350ff8eb67976d:0xfcc36f07567e49a6!8m2!3d-27.3821429!4d152.9931964!16s%2Fg%2F11rd5tt9lw!19sChIJbZdn6_gPNYgRpkl-Vgdvw_w?authuser=0&hl=en&rclk=1,All Types Fencing and Gates North Brisbane,5,Home builder,-27.3821429,152.9931964,24/02/2024 13:15
61400401212,https://www.google.ca/maps/place/Gate+Force/data=!4m7!3m6!1s0x6b93f245df4f1a59:0xc5851350f72bb6ed!8m2!3d-27.0804477!4d152.9804593!16s%2Fg%2F11bwc1f_8d!19sChIJWRpP30Xyk2sR7bYr91AThcU?authuser=0&hl=en&rclk=1,Gate Force,5,Fence supply store,-27.0804477,152.9804593,24/02/2024 19:03
61400402627,"https://www.google.ca/maps/place/FENCETECH,+Inverell/data=!4m7!3m6!1s0x6ba21df5cb0b3943:0xff8c5d02d606e1ba!8m2!3d-32.205415!4d136.1073692!16s%2Fg%2F11gdyrzkf5!19sChIJQzkLy_UdomsRuuEG1gJdjP8?authuser=0&hl=en&rclk=1","FENCETECH, Inverell",5,Fence contractor,-32.205415,136.1073692,24/02/2024 18:02
61400551144,https://www.google.ca/maps/place/Joe%27s+Fencing+%26+Garden+Maintenance/data=!4m7!3m6!1s0x6b17cb176f8c329b:0xa9cde93c396dbc59!8m2!3d-35.5224729!4d148.9484052!16s%2Fg%2F11cncv2x4x!19sChIJmzKMbxfLF2sRWbxtOTzpzak?authuser=0&hl=en&rclk=1,Joe's Fencing & Garden Maintenance,5,Fence contractor,-35.5224729,148.9484052,24/02/2024 20:54
61400595173,https://www.google.ca/maps/place/we+temp+fence/data=!4m7!3m6!1s0x6ad1413a19097b6b:0x88a67a844b3f1e8a!8m2!3d-37.4818581!4d143.8050527!16s%2Fg%2F11ft_ggcbl!19sChIJa3sJGTpB0WoRih4_S4R6pog?authuser=0&hl=en&rclk=1,we temp fence,5,Fence contractor,-37.4818581,143.8050527,25/02/2024 5:10
61400598403,https://www.google.ca/maps/place/P+Smith+Fencing/data=!4m7!3m6!1s0x6b12a5f617747129:0x56ebfcd8dbe4ed1e!8m2!3d-33.8155303!4d151.0759993!16s%2Fg%2F11h717yzd0!19sChIJKXF0F_alEmsRHu3k29j861Y?authuser=0&hl=en&rclk=1,P Smith Fencing,5,Fence contractor,-33.8155303,151.0759993,24/02/2024 23:26
61400624988,https://www.google.ca/maps/place/Fencing+landscaping+and+concerte/data=!4m7!3m6!1s0x6ad6bf3bb7a97dc9:0x38e1342b977b412b!8m2!3d-37.6779477!4d144.4269226!16s%2Fg%2F11s992wj5v!19sChIJyX2ptzu_1moRK0F7lys04Tg?authuser=0&hl=en&rclk=1,Fencing landscaping and concerte,5,Construction company,-37.6779477,144.4269226,24/02/2024 18:33
61400644557,"https://www.google.ca/maps/place/MR+Pate+The+Gates+Specialist+-+Aluminium,+Timber+%26+Colorbond+Gate+Supply+%26+Installation/data=!4m7!3m6!1s0x6b12f1d48214401b:0x86df98de42a5f5c9!8m2!3d-34.0580668!4d150.7618158!16s%2Fg%2F11d_9cyzt9!19sChIJG0AUgtTxEmsRyfWlQt6Y34Y?authuser=0&hl=en&rclk=1","MR Pate The Gates Specialist - Aluminium, Timber & Colorbond Gate Supply & Installation",4.8,Fence contractor,-34.0580668,150.7618158,24/02/2024 21:46
61400661417,https://www.google.ca/maps/place/TM+Fencing/data=!4m7!3m6!1s0x6ad643da01afc20f:0x75d32587b054df16!8m2!3d-37.7980596!4d144.9770359!16s%2Fg%2F11ns4tq6nw!19sChIJD8KvAdpD1moRFt9UsIcl03U?authuser=0&hl=en&rclk=1,TM Fencing,5,Fence contractor,-37.7980596,144.9770359,25/02/2024 2:46
61400807667,https://www.google.ca/maps/place/FENCING+ROUSE+HILL/data=!4m7!3m6!1s0x6b129f1b2b45b71f:0x41aecd2ef42dd32f!8m2!3d-33.7746927!4d150.9324143!16s%2Fg%2F1hf6rm71t!19sChIJH7dFKxufEmsRL9Mt9C7NrkE?authuser=0&hl=en&rclk=1,FENCING ROUSE HILL,2,Fence contractor,-33.7746927,150.9324143,24/02/2024 18:02
61400812093,https://www.google.ca/maps/place/Leveris+Fencing/data=!4m7!3m6!1s0x6b1285c3f1833953:0x3636248174cdac42!8m2!3d-33.7474082!4d150.7666862!16s%2Fg%2F11f8mjtyy_!19sChIJUzmD8cOFEmsRQqzNdIEkNjY?authuser=0&hl=en&rclk=1,Leveris Fencing,4.6,Fence contractor,-33.7474082,150.7666862,24/02/2024 21:27
61400814141,https://www.google.ca/maps/place/Ambience+Glass/data=!4m7!3m6!1s0x6b915161ff759923:0x3102694059202a3f!8m2!3d-27.4774034!4d153.0059844!16s%2Fg%2F11rg_8rtks!19sChIJI5l1_2FRkWsRPyogWUBpAjE?authuser=0&hl=en&rclk=1,Ambience Glass,5,Fence contractor,-27.4774034,153.0059844,24/02/2024 13:24
61400847866,https://www.google.ca/maps/place/Escape+Glass+Fencing/data=!4m7!3m6!1s0x2baf33b8e65e8d1b:0xdecfab76b8c7e885!8m2!3d-33.8482439!4d150.9319747!16s%2Fg%2F11kj6ykt90!19sChIJG41e5rgzrysRhejHuHarz94?authuser=0&hl=en&rclk=1,Escape Glass Fencing,,Contractor,-33.8482439,150.9319747,24/02/2024 17:55
61400858352,https://www.google.ca/maps/place/TruLine+Fencing+%26+Gates/data=!4m7!3m6!1s0x8d00e3ac8c68667d:0xfa1c25557e587e16!8m2!3d-37.8002492!4d144.9015889!16s%2Fg%2F11vf0j3zz5!19sChIJfWZojKzjAI0RFn5YflUlHPo?authuser=0&hl=en&rclk=1,TruLine Fencing & Gates,,Fence contractor,-37.8002492,144.9015889,25/02/2024 3:41
61400895169,"https://www.google.ca/maps/place/BetterFel.+Better+Fencing,+Excavation+and+Landscaping/data=!4m7!3m6!1s0x2edc5636aec56ed5:0x84cc20ae6b3e8745!8m2!3d-34.9285991!4d150.4689528!16s%2Fg%2F11p11cyd76!19sChIJ1W7FrjZW3C4RRYc-a64gzIQ?authuser=0&hl=en&rclk=1","BetterFel. Better Fencing, Excavation and Landscaping",,Landscape designer,-34.9285991,150.4689528,15/10/2023 19:05
61400922385,https://www.google.ca/maps/place/Tightwire+Balustrading/data=!4m7!3m6!1s0x6ad5dc08f90aeef1:0x1d236797aa02c796!8m2!3d-36.5895056!4d145.4691788!16s%2Fg%2F12lwgkjk0!19sChIJ8e4K-Qjc1WoRlscCqpdnIx0?authuser=0&hl=en&rclk=1,Tightwire Balustrading,,Fence contractor,-36.5895056,145.4691788,25/02/2024 3:19
61400951936,https://www.google.ca/maps/place/Prestige+Pickets+and+Fencing/data=!4m7!3m6!1s0x6b965d0e7ad34873:0x93747c376c092110!8m2!3d-27.556413!4d151.9570799!16s%2Fg%2F11sfdx80sk!19sChIJc0jTeg5dlmsRECEJbDd8dJM?authuser=0&hl=en&rclk=1,Prestige Pickets and Fencing,4.8,Fence supply store,-27.556413,151.9570799,25/02/2024 0:03
61401023389,https://www.google.ca/maps/place/Outdoor+Masters/data=!4m7!3m6!1s0x6ad6893cf686e73d:0x6ba17085e9ee583!8m2!3d-37.84722!4d144.7154413!16s%2Fg%2F11bx43f59_!19sChIJPeeG9jyJ1moRg-WeXggXugY?authuser=0&hl=en&rclk=1,Outdoor Masters,4.3,Fence contractor,-37.84722,144.7154413,24/02/2024 23:20
61401027889,https://www.google.ca/maps/place/Empire+Fencing+Pty+Ltd/data=!4m7!3m6!1s0x6b17caabec10b521:0x5ace64ab31148e14!8m2!3d-32.83115!4d150.0523617!16s%2Fg%2F11cs4h0r4p!19sChIJIbUQ7KvKF2sRFI4UMatkzlo?authuser=0&hl=en&rclk=1,Empire Fencing Pty Ltd,4.8,Fence contractor,-32.83115,150.0523617,24/02/2024 17:51
61401044638,https://www.google.ca/maps/place/Mighty+Fencing/data=!4m7!3m6!1s0x6b130d6123334943:0x207f19de9d7f0a9!8m2!3d-34.5611686!4d150.749696!16s%2Fg%2F11kq4yjn_v!19sChIJQ0kzI2ENE2sRqfDX6Z3xBwI?authuser=0&hl=en&rclk=1,Mighty Fencing,5,Fence contractor,-34.5611686,150.749696,24/02/2024 22:18
61401050602,https://www.google.ca/maps/place/Quality+Landscaping+and+Fencing/data=!4m7!3m6!1s0x6ad64dab065aad6b:0x4c2de670ff9b17cb!8m2!3d-37.6169047!4d145.038764!16s%2Fg%2F11p6wltw6s!19sChIJa61aBqtN1moRyxeb_3DmLUw?authuser=0&hl=en&rclk=1,Quality Landscaping and Fencing,5,Construction and maintenance office,-37.6169047,145.038764,25/02/2024 0:16
61401054832,https://www.google.ca/maps/place/Rosie%27s+Fencing/data=!4m7!3m6!1s0x4be884e1cf684cf7:0x442c7a9dbadf2301!8m2!3d-27.7629382!4d153.0448391!16s%2Fg%2F11t3cwp_yd!19sChIJ90xoz-GE6EsRASPfup16LEQ?authuser=0&hl=en&rclk=1,Rosie's Fencing,,Fence contractor,-27.7629382,153.0448391,25/02/2024 0:51
61401069984,https://www.google.ca/maps/place/Warp+Ironworks+wrought+iron./data=!4m7!3m6!1s0x6ad63b6dcc7fe607:0x40d7bd90b50a8fd2!8m2!3d-37.8500477!4d145.2838377!16s%2Fg%2F1tfsn3m9!19sChIJB-Z_zG071moR0o8KtZC910A?authuser=0&hl=en&rclk=1,Warp Ironworks wrought iron.,5,Fence supply store,-37.8500477,145.2838377,25/02/2024 4:16
61401088611,https://www.google.ca/maps/place/NHG+Construction/data=!4m7!3m6!1s0x6ad63d7f938e8e53:0x3cd5df2aea14d0fb!8m2!3d-37.9128856!4d145.2526417!16s%2Fg%2F11nh98tbrx!19sChIJU46Ok3891moR-9AU6irf1Tw?authuser=0&hl=en&rclk=1,NHG Construction,3.5,Fence contractor,-37.9128856,145.2526417,24/02/2024 22:39
61401146177,https://www.google.ca/maps/place/Arecta+Fence/data=!4m7!3m6!1s0x4d22634d9c8e10a1:0x37bbfc4f883b6d3a!8m2!3d-31.1959404!4d152.5761023!16s%2Fg%2F11t_v7wrtg!19sChIJoRCOnE1jIk0ROm07iE_8uzc?authuser=0&hl=en&rclk=1,Arecta Fence,,Fence contractor,-31.1959404,152.5761023,24/02/2024 13:32
61401189166,https://www.google.ca/maps/place/Truline+Fencing/data=!4m7!3m6!1s0x6b72cf4d46e83971:0x91fb7e2d2064e36b!8m2!3d-33.3146575!4d151.3111836!16s%2Fg%2F11f61t95mw!19sChIJcTnoRk3PcmsRa-NkIC1--5E?authuser=0&hl=en&rclk=1,Truline Fencing,5,General contractor,-33.3146575,151.3111836,25/02/2024 3:42
61401197535,https://www.google.ca/maps/place/Fencing+Gold+Coast/data=!4m7!3m6!1s0x6b91113b1a7423db:0x195721836b130920!8m2!3d-27.8933138!4d153.3199623!16s%2Fg%2F12m9kx3ht!19sChIJ2yN0GjsRkWsRIAkTa4MhVxk?authuser=0&hl=en&rclk=1,Fencing Gold Coast,4.3,Fence contractor,-27.8933138,153.3199623,24/02/2024 18:27
61401230861,https://www.google.ca/maps/place/Blue+Sovereign+Fences+%26+Gates/data=!4m7!3m6!1s0x640f129592f17f77:0xb303f3d49a4c0289!8m2!3d-37.8208239!4d144.6814722!16s%2Fg%2F11y1jw_kbc!19sChIJd3_xkpUSD2QRiQJMmtTzA7M?authuser=0&hl=en&rclk=1,Blue Sovereign Fences & Gates,,Fence contractor,-37.8208239,144.6814722,24/02/2024 15:25
61401259882,https://www.google.ca/maps/place/Poolsafe+Fence+Hire/data=!4m7!3m6!1s0x6b9083878db3879b:0x3b945b3eee38364c!8m2!3d-28.8164369!4d153.4789459!16s%2Fg%2F11mvn405h3!19sChIJm4ezjYeDkGsRTDY47j5blDs?authuser=0&hl=en&rclk=1,Poolsafe Fence Hire,5,Swimming pool,-28.8164369,153.4789459,24/02/2024 23:55
61401279273,https://www.google.ca/maps/place/Bayside+Fencing+%26+Gates/data=!4m7!3m6!1s0x6b93efff15f40f47:0xf0bd22cab90993cf!8m2!3d-27.2002867!4d153.0191515!16s%2Fg%2F11c45blcs7!19sChIJRw_0Ff_vk2sRz5MJucoivfA?authuser=0&hl=en&rclk=1,Bayside Fencing & Gates,4.8,Fence contractor,-27.2002867,153.0191515,24/02/2024 14:57
61401291963,https://www.google.ca/maps/place/David+Fencing+%26+Gates/data=!4m7!3m6!1s0x6b914fa9abf2a59d:0xd3490917810fb3a8!8m2!3d-27.5581349!4d152.9985489!16s%2Fg%2F11p0zsk9xg!19sChIJnaXyq6lPkWsRqLMPgRcJSdM?authuser=0&hl=en&rclk=1,David Fencing & Gates,5,Fence supply store,-27.5581349,152.9985489,24/02/2024 17:12
61401308512,https://www.google.ca/maps/place/A+%26+H+Fences/data=!4m7!3m6!1s0x6b13a762712a67ab:0xc41f9c789473d9c8!8m2!3d-34.4180221!4d150.4975209!16s%2Fg%2F11qp6ryp14!19sChIJq2cqcWKnE2sRyNlzlHicH8Q?authuser=0&hl=en&rclk=1,A & H Fences,4.4,Fence contractor,-34.4180221,150.4975209,24/02/2024 12:15
61401321946,https://www.google.ca/maps/place/NLB+Fencing+%26+Balustrades/data=!4m7!3m6!1s0x6b733d669e534a7d:0x130dd2d07aae3bfb!8m2!3d-32.9966147!4d151.6936808!16s%2Fg%2F11fjvwvvwy!19sChIJfUpTnmY9c2sR-zuuetDSDRM?authuser=0&hl=en&rclk=1,NLB Fencing & Balustrades,5,Fence contractor,-32.9966147,151.6936808,24/02/2024 22:39
61401359873,https://www.google.ca/maps/place/A%26A+Fencing+%26+Retaining+Wals/data=!4m7!3m6!1s0x6ad6f5ef2f498607:0x223423bb0bbc8301!8m2!3d-37.691006!4d144.7277222!16s%2Fg%2F1pty_b257!19sChIJB4ZJL-_11moRAYO8C7sjNCI?authuser=0&hl=en&rclk=1,A&A Fencing & Retaining Wals,2.3,Fence contractor,-37.691006,144.7277222,24/02/2024 11:57
61401373289,https://www.google.ca/maps/place/Northern+Beaches+Glass+Pool+Fencing/data=!4m7!3m6!1s0x869b1e05cf0609a5:0x45c67a744b40b623!8m2!3d-33.7899774!4d151.2514243!16s%2Fg%2F11tj662jl_!19sChIJpQkGzwUem4YRI7ZAS3R6xkU?authuser=0&hl=en&rclk=1,Northern Beaches Glass Pool Fencing,,Fence contractor,-33.7899774,151.2514243,24/02/2024 23:03
61401398819,https://www.google.ca/maps/place/PRO+TOUCH+FENCING+PTY+LTD/data=!4m7!3m6!1s0x6b12a3850f432c2d:0x3e77d95faea52333!8m2!3d-32.83115!4d150.0523617!16s%2Fg%2F11gmfy68m4!19sChIJLSxDD4WjEmsRMyOlrl_Zdz4?authuser=0&hl=en&rclk=1,PRO TOUCH FENCING PTY LTD,,Fence contractor,-32.83115,150.0523617,24/02/2024 23:30
61401431760,https://www.google.ca/maps/place/Sunline+fencing/data=!4m7!3m6!1s0xab0fe3713f93d0cf:0x6dd58d506f8f150b!8m2!3d-32.205415!4d136.1073692!16s%2Fg%2F11rpdcj97s!19sChIJz9CTP3HjD6sRCxWPb1CN1W0?authuser=0&hl=en&rclk=1,Sunline fencing,,Fence contractor,-32.205415,136.1073692,25/02/2024 2:26
61401444870,https://www.google.ca/maps/place/Thor+Fencing/data=!4m7!3m6!1s0x41cdf4d623259aaf:0x3067fe75836f87e6!8m2!3d-37.9725665!4d145.0531353!16s%2Fg%2F11nxcy4phf!19sChIJr5olI9b0zUER5odvg3X-ZzA?authuser=0&hl=en&rclk=1,Thor Fencing,5,Fence contractor,-37.9725665,145.0531353,25/02/2024 3:15
61401470138,https://www.google.ca/maps/place/Quality+Glass+Solutions/data=!4m7!3m6!1s0x6b910524e455617d:0x78692bb77ed9bb34!8m2!3d-27.9542216!4d153.3693614!16s%2Fg%2F1q5cchnvt!19sChIJfWFV5CQFkWsRNLvZfrcraXg?authuser=0&hl=en&rclk=1,Quality Glass Solutions,5,Fence contractor,-27.9542216,153.3693614,25/02/2024 0:16
61401471699,https://www.google.ca/maps/place/J+AND+B+Fencing+%28cheapest+on+the+peninsula%29/data=!4m7!3m6!1s0x6ad60cedd0aa3761:0x4c702a5f351cffc0!8m2!3d-38.101911!4d145.168752!16s%2Fg%2F11c0rnzmrf!19sChIJYTeq0O0M1moRwP8cNV8qcEw?authuser=0&hl=en&rclk=1,J AND B Fencing (cheapest on the peninsula),1,Fence contractor,-38.101911,145.168752,24/02/2024 20:19
61401480350,https://www.google.ca/maps/place/Fences+are+Russ/data=!4m7!3m6!1s0x6b7465be783f1d9f:0x236a0214871266d3!8m2!3d-32.4029858!4d152.2045372!16s%2Fg%2F11rrc3mysg!19sChIJnx0_eL5ldGsR02YShxQCaiM?authuser=0&hl=en&rclk=1,Fences are Russ,4.5,Fence contractor,-32.4029858,152.2045372,24/02/2024 18:22
61401481876,https://www.google.ca/maps/place/Farr+Fencing/data=!4m7!3m6!1s0x4e456be2810938cf:0x8f901bf396f44117!8m2!3d-30.2090915!4d153.1261513!16s%2Fg%2F11q8y4zd8_!19sChIJzzgJgeJrRU4RF0H0lvMbkI8?authuser=0&hl=en&rclk=1,Farr Fencing,,Fence contractor,-30.2090915,153.1261513,24/02/2024 18:09
